title,salary,lower,upper,currency_unit,address,time,rank,experience,number_of_recruits,working_form,sex,company,description,requirements,benefit,url
Nhân Viên IT Support (IT Helpdesk),,,,,"Hà Nội: 101 Láng Hạ, Đống Đa",24-12-2023,Nhân viên,1,1,Toàn thời gian,Nam,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,,,"Mức lương Thỏa thuận Làm việc trong môi trường hiện đại, năng động, bình đẳng, phát huy tối đa khả năng chủ động và sáng tạo. Được trang bị đầy đủ trang thiết bị phục vụ công việc như: máy tính, và các công cụ làm việc. Làm việc, học hỏi và phát triển cùng đồng nghiệp là những kỹ sư trẻ, đam mê và có lý tưởng. Được đào tạo tư vấn, chia sẻ về nghiệp vụ, nâng cao kiến thức chuyên môn và kỹ năng mềm. Các chế độ BHXH, BHYT theo quy định của nhà nước, các chính sách đãi ngộ tốt Được tham gia các hoạt động đoàn thể, hoạt động cộng đồng, xã hội của Công ty.",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-it-support-it-helpdesk%2F1153394.html%3Fta_source%3DITJobs_LinkDetail
System Admin - Quản Trị Hệ Thống Máy Chủ Linux,10-18triệu,10.0,18.0,VND,"Hà Nội: Số 247 Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy, Cầu Giấy",25-12-2023,Nhân viên,1,1,Toàn thời gian,Không yêu cầu,Công ty Cổ phần Đào tạo trực tuyến Unica,"Quản trị và vận hành các máy chủ sử dụng hệ điều hành Linux Giám sát, vận hành, bảo mật hệ thống, đảm bảo dữ liệu được lưu trữ an toàn và sao lưu thường xuyên Quản lý, Sao Lưu và Khôi phục dữ liệu khi gặp sự cố, giải quyết các sự cố kỹ thuật liên quan đến hệ thống Các công việc khác nếu có được giao từ CEO Báo cáo công việc cho CEO Quy trình phỏng vấn: 01 vòng","Thành thạo Linux, Raid & Quản trị Nginx, MongoDB Có kinh nghiệm tối thiểu 01 năm ở vị trí tương đương Nhiệt tình, cẩn thận Có laptop để làm việc (công ty có phụ cấp laptop)",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsystem-admin-quan-tri-he-thong-may-chu-linux%2F1181716.html%3Fta_source%3DITJobs_LinkDetail
Java Developer (Junior - Middle),30triệu,30.0,30.0,VND,"Hà Nội: AHT TECH JSC Head Office Tầng 8, Mitec Tower, Dương Đình Nghệ, Cầu Giấy, Hà Nội, Cầu Giấy",31-12-2023,Nhân viên,2,1,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN AHT TECH,"Phân tích, thiết kế ứng dụng, xác định và áp dụng đúng các design pattern và Framework cho từng bài toán cụ thể để phát triển hệ thống phần mềm quản lý trong mảng viễn thông, dịch vụ VAS, phần mềm quản lý vận hành Xây dựng và quản lý dự án, đảm bảo chất lượng, timeline bàn giao cho khách hàng Nghiên cứu sản phẩm mới theo định hướng phát triển của đối tác (ngân hàng) Phân tích và xử lý lỗi, xác định và đưa ra giải pháp cho các vấn đề.","Tối thiểu 2 năm làm việc thực tế tại các công ty, dự án về lập trình ngôn ngữ Java Tiếng Anh giao tiếp tốt Có kinh nghiệm làm việc và hiểu biết với API (Restful, SOAP), SCM (Git, SVN), IDE (Eclipse, IntelliJ, NetBeans) Có kiến thức và kinh nghiệm về Springboot Ưu tiên ứng viên đã từng tham gia triển khai các dự án theo mô hình Agile/Scrum Có kinh nghiệm triển khai về Cloud AWS, Microserrvice là lợi thế lớn",Bạn sẽ được: Cùng với chế độ:,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fjava-developer-junior-middle%2F1118558.html%3Fta_source%3DITJobs_LinkDetail
Lập Trình Viên PHP,10-18triệu,10.0,18.0,VND,"Hồ Chí Minh: 361 Hoàng Văn Thụ, Phường 2, Tân Bình",31-12-2023,Nhân viên,1,2,Toàn thời gian,Không yêu cầu,CÔNG TY CP CÔNG NGHỆ DNG,,,"Biết sử dụng công cụ quản lý mã nguồn: Git Nắm vững OOP và các giải thuật cơ bản Biết cài đặt và sử dụng Theme, Plugin theo hướng OOP Làm việc tốt với Composer, Npm là 1 lợi thế Biết về Angularjs, React, Vuejs, biết sử dụng Bootstrap Studio là 1 lợi thế Có khả năng học hỏi tốt, năng động, tích cực và cởi mở. Có khả năng làm việc độc lập và hỗ trợ khi cần thiết. Tinh thần trách nhiệm cao trong công việc. ",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Flap-trinh-vien-php%2F627127.html%3Fta_source%3DITJobs_LinkDetail
Data Architect (Data Warehouse) - Kỹ Sư Dữ Liệu,,,,,Hà Nội,31-12-2023,Nhân viên,3,4,Toàn thời gian,Không yêu cầu,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank)," Xác định và thực thi các tiêu chuẩn về kiến trúc dữ liệu, bao gồm việc đánh giá các công cụ cần thiết cho kiến trúc và quản trị dữ liệu Tạo và phát triển lộ trình kiến trúc dữ liệu để phù hợp với nhu cầu kinh doanh không ngừng phát triển Thiết kế quy trình phân tích xuyên suốt, bao gồm kiến trúc tổng thể, khả năng, nền tảng, công cụ và quy trình quản lý Tạo, duy trì và truyền đạt các chiến lược hiện tại/tương lai cho các khả năng/công cụ phân tích Chia sẻ trách nhiệm quản trị để đảm bảo sự phù hợp với các nguyên tắc của doanh nghiệp về bảo mật dữ liệu, khả năng kiểm toán, quản trị, quản lý siêu dữ liệu... Xác định cấu trúc liên kết dữ liệu theo miền trên pham vi toàn tổ chức và xác định chủ sở hữu miền dữ liệu Giúp xác định/cải thiện các phương pháp thực hiện tốt nhất, các quy tắc và việc tích hợp giữa các giải pháp và ứng dụng của doanh nghiệp Theo dõi xu hướng công nghệ và thực hiện đánh giá các công cụ/khả năng mới đang được quan tâm  Chịu trách nhiệm về: o Mẫu và tham chiếu kiến trúc cho dữ liệu o Kiến trúc dữ liệu hiện tại, mục tiêu và chuyển đổi o Cấu trúc miền dữ liệu","Trên 3 năm kinh nghiệm về kiến trúc dữ liệuTrên 7 năm làm việc trong lĩnh vực kỹ thuật dữ liệu Hiểu biết sâu sắc về các nguyên tắc mô hình hóa dữ liệu cho dữ liệu có cấu trúc, bán và phi cấu trúc bao gồm mô hình vật lý, logic và khái niệm Có kinh nghiệm thực tế triển khai kho dữ liệu Có kinh nghiệm thực tế sâu sắc về triển khai và vận hành quy trình ETL Có hiểu biết nâng cao về tích hợp dữ liệu và làm chủ các mẫu và phương pháp  Có kinh nghiệm phát triển các công cụ BI đáp ứng nhu cầu kinh doanh Có kinh nghiệm với các giải pháp quản lý chất lượng dữ liệu Có kiến thức về mô hình dữ liệu tài chính tiêu chuẩn, như FSLDM, là một lợi thế.  Bằng Cử nhân Khoa học Máy tính, Kỹ thuật Phần mềm Máy tính, Công nghệ Thông tin, Thống kê hoặc Toán học. Ưu tiên có bằng Thạc sĩ  Có hiểu biết sâu sắc về mô hình hóa dữ liệu và các công cụ liên quan (ví dụ: SQL Developer Data Modeler, ERwin). Có kiến thức nâng cao về kiến trúc dữ liệu (ví dụ OLTP, Data Warehousing, Data Lake, and/or Data Mesh) với khả năng đánh giá các công nghệ hiện tại và xu hướng để có giải pháp kiến trúc dữ liệu tối ưu.  Có kỹ năng thực tế trong việc thiết kế luồng, giải pháp và tích hợp dữ liệu  Thành thạo cơ sở dữ liệu quan hệ và SQL  Có kiến thức sâu về một trong các giải pháp DWH (e.g. Teradata, Oracle)  Có kiến thức sâu về ít nhất một nền tảng ETL (e.g. Informatica, IBM)  Có kiến thức chuyên sâu về giải pháp MDM  Hiểu biết sâu sắc và có kinh nghiệm thực tế về toàn bộ vòng đời dữ liệu  Có kiến thức và kinh nghiệm làm việc với các giải pháp lưu trữ dữ liệu là một lợi thế",     ,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fdata-architect-data-warehouse-ky-su-du-lieu%2F1181908.html%3Fta_source%3DITJobs_LinkDetail
Cộng Tác Viên Triển Khai Phần Mềm,6triệu,6.0,6.0,VND,"Hà Nội: 44 Lê Ngọc Hân, Hai Bà Trưng",30-12-2023,Nhân viên,1,3,Toàn thời gian,Không yêu cầu,FPT Information System,"Tư vấn, triển khai, cài đặt hệ thống phần mềm cho các Dự án về nhân sự tiền lương cho Doanh nghiệp; Giới thiệu, hướng dẫn và hỗ trợ sử dụng phần mềm sau khi triển khai; Kiểm tra phần mềm, đảm bảo chất lượng hệ thống khi triển khai; Đào tạo hướng dẫn khách hàng sử dụng phần mềm của công ty; Hỗ trợ khách hàng trực tiếp, tận nơi, khi khách hàng có gặp khó khăn trong việc vận hành phần mềm. khai dự án; Báo cáo cho Ban Lãnh đạo dự án theo quy định; Đề xuất phương án tổ chức, quản lý dự án hiệu quả.","Tốt nghiệp CĐ/ĐH chuyên ngành CNTT hoặc có liên quan; Có từ 6 tháng kinh nghiệm triển khai phần mềm hoặc tương đương; Ưu tiên có hiểu biết về nghiệp vụ nhân sự; Có kiến thức cơ bản về cơ sở dữ liệu SQL Server; Kỹ năng giao tiếp tốt, năng động, phân tích đàm phán, giải quyết vấn đề tốt.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fcong-tac-vien-trien-khai-phan-mem%2F1181163.html%3Fta_source%3DITJobs_LinkDetail
"Senior Software Engineer, Java",,,,,"Hồ Chí Minh: VNG Campus Khu chế xuất Tân Thuận Quận 7 Tp. Hồ Chí Minh., Quận 7",23-12-2023,Nhân viên,3,1,Toàn thời gian,Nam,ZALO,"Developing and maintaining our products or outsource as assigned by the Development Lead; Analyze product requirements and specifications to create, communicate, and implement; Develop Web App/ Backend APIs using Java; May provide technical solutions and system architecture; Collaborate with Product team to define and customize new features.","At least 3 years of experience in Java; Experience in back-end practices (Micro Services, Caching, Load Balancing, Message Queue, High Performance); Good at Linux operating system, network protocols; Have solid knowledge and experience in MySQL or NoSQL; Have solid knowledge of data algorithm, data structures and code complexity; Self-motivated, proactive, good at time management, self-discipline, responsible.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsenior-software-engineer-java%2F1180708.html%3Fta_source%3DITJobs_LinkDetail
Quản Lý Dự Án,35triệu,35.0,35.0,VND,"Hà Nội: 125 Dương Quảng Hàm, Quan Hoa, Cầu Giấy, Cầu Giấy",23-12-2023,Quản lý / Giám sát,3,1,Toàn thời gian,Không yêu cầu,Công ty cổ phần Công nghệ Proton,"Thực hiện quản lý các dự án, quản lý nhóm được giao. Quản lý các dự án triển khai sản phẩm phần mềm của công ty cho khách hàng. Phối hợp với cấp trên, khách hàng và đối tác trong việc định nghĩa phạm vi và mục đích của các dự án. Xây dựng kế hoạch dự án chi tiết và phân công công việc cho các thành viên dự án. Tiến hành triển khai và kiểm soát công tác thực hiện, áp dụng các phương pháp quản lý dự án hiện đại như PMI, Agile. Quản lý các thay đổi và các rủi ro của dự án, đảm bảo dự án được triển khai đúng tiến độ với chất lượng công việc cao. Tổng hợp, báo cáo tình hình thực hiện cho cấp Quản lý. Thực hiện các công việc khác theo yêu cầu của cấp Quản lý.","Có tối thiểu 3 năm kinh nghiệm trong vai trò Quản trị dự án. Có hiểu biết và có kinh nghiệm quản lý các dự án Fintech. Hiểu biết về các phương pháp quản lý dự án hiện đại như PMI, Agile. Có các chứng chỉ quản lý dự án như PMP, PMI là một lợi thế. Có khả năng dẫn dắt team dự án thực hiện dự án theo yêu cầu đề ra của cấp trên. Có tinh thần trách nhiệm cao, trung thực, cẩn thận, khả năng bao quát và kỹ năng xử lý tình huống tốt.", ,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fquan-ly-du-an%2F1180784.html%3Fta_source%3DITJobs_LinkDetail
React Native Developer,,,,,"Hà Nội: Tòa Thăng Long Tower, 33 Mạc Thái Tổ, Yên Hòa, Cầu Giấy",31-01-2024,Nhân viên,3,1,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,Phát triển và bảo trì các ứng dụng di động cho các nền tảng iOS và Android Làm việc với các kỹ sư khác để thiết kế và triển khai các tính năng mới Làm việc với khách hàng để hiểu nhu cầu của họ và phát triển các ứng dụng đáp ứng nhu cầu đó Tham gia vào các hoạt động nghiên cứu và phát triển để tìm ra các cách mới để cải thiện chất lượng và hiệu suất của các ứng dụng,"Có ít nhất 2 năm kinh nghiệm phát triển React Native Hiểu biết về Javascript, HTML, CSS/LESS/SCSS Hiểu biết về RESTful_APIs Có khả năng làm việc độc lập và theo nhóm Có khả năng học hỏi nhanh và thích ứng với công nghệ mới","Được làm việc trong môi trường chuyên nghiệp, năng động, điều kiện cơ sở vật chất tốt nhất. Được công ty tạo điều kiện phát huy các ý tưởng sáng tạo. Được hưởng đầy đủ các chính sách lao động theo Bộ luật lao động Việt Nam và thỏa ước lao động tập thể của công ty. Sau một thời gian làm việc thực tế, được tham gia các khóa đào tạo nghiệp vụ.",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Freact-native-developer%2F1151850.html%3Fta_source%3DITJobs_LinkDetail
IT Project Coordinator,,,,,"Hồ Chí Minh: Victory Tower, Petroland, Tân Trào, Khu đô thị Phú Mỹ Hưng, Tân Phú, Quận 7",31-12-2023,Nhân viên,2,1,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN INNOTECH VIỆT NAM,"Collaborate with the CEO/PM to identify project requirements and expectations.  Follow up on project progress and track key milestones.  Identify potential risks and issues and escalate them to the Project Manager for resolution.  Connect and coordinate with the marketing/sales/development team in developing products.  Collaborate with other department/ team members to ensure tasks are completed on time and meet quality standards.  Assist in creating project–related documents such as requirements documents, user stories, and specifications.  Project status reports, highlighting progress, and proposed solutions. ","Bachelor’s degree in business administration, Communications, Information Technology, or a related field  At least 2 years experience as a Project Coordinator in a software/technology industry  Having knowledge about Scrum master is a big plus Excellent communication skills to effectively engage with clients and cross-functional teams.  Excellently written and verbal communication skills in English   Strong organizational skills and problem-solving skills   Experience in HRM/AI project coordination is a plus.  Proficiency in project management tools and software (e.g., Microsoft Project, Jira, Trello) is a plus. ",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fit-project-coordinator%2F1180780.html%3Fta_source%3DITJobs_LinkDetail
Java Developer (SpringBoot/Struts),,,,,Hà Nội,23-12-2023,Nhân viên,1,1,Toàn thời gian,Không yêu cầu,Công ty TNHH phần mềm Kaopiz,Tham gia các dự án sử dụng ngôn ngữ lập trình Java cùng framework SpringBoot/Struts và các công nghệ liên quan cho các khách hàng đến từ Nhật Bản. Phân tích thiết kế và lập trình chức năng của các website. Làm các công việc khác theo sự phân công của quản lý,"Tốt nghiệp đại học chuyên ngành IT   Thao tác tốt Spring, Hibernate, Struts 2, HTML, CSS. (Struts 2 nếu chưa biết sẽ được đào tạo).   Ham học hỏi và khả năng tự học và hiểu các framework. Khuyến khích khả năng làm độc lập trong dự án.   Có tư duy và giải thuật tốt     Có kinh nghiệm làm việc với AWS là một lợi thế     Hiểu biết về MVC Framework, ORM, RESTful, OOP, Design Pattern     Có kinh nghiệm làm việc với MySQL hoặc NoSQL (MongoDB)     Thành thạo các công cụ quản lý mã nguồn: GIT, SVN     Sẵn sàng học hỏi và đáp ứng nhanh các yêu cầu của dự án   Viết code rõ ràng, dễ hiểu, dễ maintain, tuân thủ chặt chẽ convention  Tương tác với nhiều resources, nhiều dạng database là lợi thế.   Viết SQL tối ưu, không bị SQL Injection là lợi thế  Thiết kế database phù hợp yêu cầu, tối ưu cho performance",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fjava-developer-springboot-struts%2F1180750.html%3Fta_source%3DITJobs_LinkDetail
Artist Leader,2.000USD,2000.0,2000.0,USD,Hà Nội,31-12-2023,Trưởng nhóm,3,1,Toàn thời gian,Không yêu cầu,Công Ty TNHH Công Nghệ Inwave,"Định hình art style của game theo trend của thế giới Lập kế hoạch công việc theo kế hoạch chung của dự án, triển khai giao việc và kiểm soát chất lượng sản phẩm của các thành viên cũng như phối hợp tốt với các bộ phận có liên quan để đảm bảo công việc hoàn thành đúng tiến độ và yêu cầu của dự án. Phân công công việc và giám sát tiến độ, hướng dẫn nhân viên thực hiện công việc hiệu quả Xây dựng tiêu chuẩn đầu ra của các task chuyên môn Xây dựng lộ trình phát triển cho mỗi nhân viên Hướng dẫn, kèm cặp, đào tạo các thành viên trong team về kỹ năng và ý tưởng.  Đánh giá hiệu quả công việc, năng lực nhân viên từ đó định hướng và phát triển các thành viên trong team. Tư vấn cho Ban lãnh đạo công ty về các yếu tố xu hướng, ý tưởng, mỹ thuật, hội họa, màu sắc của Game. Luôn sáng tạo để cải tiến quy trình làm việc, tối đa hóa nguồn lực và tiết kiệm tài nguyên.","Đã được đào tạo qua trường lớp mỹ thuật chuyên ngành Thiết kế Đồ Họa. Ít nhất 3 năm kinh nghiệm làm ở lĩnh vực đồ họa game  Có kĩ năng quản lý, lập và triển khai kế hoạch theo mục tiêu Có tư duy sáng tạo, bắt được trend art style của các dòng game Có đam mê trong việc sản xuất và chơi game mobile (các dòng casual) Cảm giác sáng tạo và nghệ thuật tốt, tư duy thẩm mỹ tốt và chú ý đến từng chi tiết Có khả năng thích ứng và đáp ứng được với nhiều phong cách thiết kế khác nhau Có khả năng làm việc dưới áp lực cao Kỹ năng làm việc nhóm, hợp tác và hỗ trợ các thành viên trong nhóm Kỹ năng làm việc độc lập Tinh thần trách nhiệm: thể hiện tốt sự cam kết với tập thể và công ty, sẵn sàng làm việc chăm chỉ để hoàn thành công việc đúng thời hạn Kỹ năng lắng nghe và tư duy cởi mở, sẵn sàng lắng nghe và chấp nhận các phản hồi tích cực và có tính xây dựng của người khác để cải thiện bản thân",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fartist-leader%2F1151136.html%3Fta_source%3DITJobs_LinkDetail
Senior Software Developer ( Python ),,,,,"Hồ Chí Minh: 153 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh, Bình Thạnh",31-12-2023,Nhân viên,5,4,Toàn thời gian,Không yêu cầu,GSI GROUP LIMITED,"Writing clean, high-quality, high-performance, maintainable code Develop and support software including applications, database integration, interfaces, and new functionality enhancements. Coordinate cross-functionally to ensure the project meets business objectives and compliance standards. Support test and deployment of new products and features Participate in code review  Protect operations by keeping information confidential,  Report works status and present results to line manager and software manager on a regular basis."," Bachelor’s degree in computer science (or related field), knowledge of Civil Engineering is plus. 3+ years of relevant work experience. Expertise in Object Oriented Design, Database Design, and XML Schema.  Experience with Agile or Scrum software development methodologies.  Ability to multi-task, organize, and prioritize work. Fluent in one of the programming languages: Python, C/C++, Java, C#. Knowledge of NodeJs, Js, Css, and Html is a plus.  Experience as odoo developer is a plus.  Experience with CI/CD pipeline for BitBucket or GitLab, test automation, testing frameworks for Python, and knowledge of code metrics. Experience in code documentation with doxygen is a plus.  Agile DevOps mindset, product security, and quality awareness. Knowledge of software architectural concepts, software design patterns, and UML diagrams. Excellent in English (speaking, writing, reading) and presentation skills.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsenior-software-developer-python%2F1048260.html%3Fta_source%3DITJobs_LinkDetail
Game Tester,13triệu,13.0,13.0,VND,Hà Nội: Hà Đông,31-12-2023,Nhân viên,1,2,Toàn thời gian,Không yêu cầu,Công Ty TNHH Công Nghệ Inwave,"Đọc hiểu Game Document Design để đưa ra test case, test plan chi tiết Kiểm tra, đảm bảo chất lượng games của Game Studio Thực hiện test theo đúng quy trình và tài liệu đã chuẩn bị. Viết report, đánh giá chất lượng của sản phẩm.","Ít nhất 01 năm kinh nghiệm làm việc trong mảng test game hoặc phần mềm. Có kinh nghiệm test mobile game trên các hệ điều hành IOS, Android, Windows phone. Có kinh nghiệm về Test script, Automation Testing, Performance Testing; Am hiểu về quy trình test game (phần mềm); Thích chơi game, có kiến thức về phát triển game, test game; Nghiên cứu và tìm hiểu những kiến thức mới về test game; Kỹ năng giao tiếp và giải quyết vấn đề tốt; Yêu thích game nói chung và game moblie nói riêng. Kỹ năng làm việc độc lập & làm việc nhóm tốt;",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fgame-tester%2F1180364.html%3Fta_source%3DITJobs_LinkDetail
Trading Advisor,,,,,Hà Nội,23-12-2023,Nhân viên,0,1,Toàn thời gian,Không yêu cầu,Công ty TNHH phần mềm Kaopiz,"Research chart, dự án, xu hướng thị trường.  Share kèo (scalp, swing,...) margin/futures.  Support xây dựng các trang social của team.  Sẵn sàng hỗ trợ và thực hiện các công việc trưởng bộ phận yêu cầu. ","Có kiến thức về phân tích cơ bản + phân tích kỹ thuật trong crypto.  Có khả năng phân tích số liệu, tư duy chiến lược.  Có khả năng giao tiếp, làm việc nhóm, đàm phán với đối tác và các bộ phận khác.  Thường xuyên hỗ trợ, tương tác với member.  Siêng năng, chăm chỉ làm việc, chịu được áp lực công việc, có thể làm việc linh hoạt giờ giấc.  Thành thạo Tiếng Anh là một lợi thế.  Đã có kinh nghiệm trading cryptocurrency, forex.  Đã hoặc đang là thành viên của một nhóm/cộng đồng trading. ",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Ftrading-advisor%2F1180919.html%3Fta_source%3DITJobs_LinkDetail
Lập Trình Viên PHP,,,,,Hà Nội: Cầu Giấy,29-12-2023,Nhân viên,0,2,Toàn thời gian,Nữ,Công ty Cổ phần Thương mại và Dịch vụ truyền thông BIHACO,Xây dựng giao diện CMS bằng html css Code các module CMS theo yêu cầu quản lý Hỗ trợ nhân viên công ty sử dụng CMS Nhập dữ liệu đối soát hàng tháng Nâng cấp module đối soát theo yêu cầu Kết hợp với bộ phận kế toán để đối soát dữ liệu Hỗ trợ bộ phận khác viết bài và sửa giao diện bhmedia khi có yêu cầu Lập trình các module của từng cms khi có yêu cầu Code mới CMS khi có yêu cầu Hỗ trợ các bộ phận khác lấy dữ liệu khi có yêu cầu,"Tốt nghiệp ĐH chuyên ngành PHP Có ít nhất 05 năm kinh nghiệm về lập trình PHP. Có kiến thức về html css, javascript,PHP... Có kiến thức về Photoshop, javascript Design html css Code PHP, Code mysql", ,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Flap-trinh-vien-php%2F1181000.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Kiểm Thử Phần Mềm (Tester),30triệu,30.0,30.0,VND,"Hà Nội: Toà 319 Bộ Quốc Phòng, số 63 Lê Văn Lương, quận Cầu Giấy, Hà Nội, Cầu Giấy, Cầu Giấy",31-12-2023,Nhân viên,3,5,Toàn thời gian,Không yêu cầu,Công ty Cổ phần Hệ thống Công nghệ ETC,,,"– Mức lương cạnh tranh. – Môi trường làm việc thân thiện, năng động, có cơ hội phát triển bản thân và thăng tiến. – Ghi nhận thành tích, tăng lương và tưởng thưởng kịp thời. – Thưởng định kì ngày lễ 30/4, 2/9,… thường Tết – Nghỉ thứ 7, chủ nhật và các ngày Lễ theo quy định. – Được hỗ trợ tiền làm thêm giờ, phụ cấp hoạt động dự án. – Được tham gia các khóa đào tạo do công ty tổ chức: kĩ năng mềm, nâng cao trình độ chuyên môn… – Có cơ hội thăng tiến – Được đào tạo, làm việc cùng các chuyên gia nước ngoài – Có cơ hội công tác nước ngoài – Được hưởng đầy đủ các chế độ bảo hiểm theo luật Việt Nam và quy định của công ty.",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-kiem-thu-phan-mem-tester%2F878331.html%3Fta_source%3DITJobs_LinkDetail
Thực Tập Trợ Lý Dự Án Thương Mại Điện Tử Cloodo,3-4triệu,3.0,4.0,VND,"Hà Nội: 91 Nguyễn Chí Thanh, Đống Đa",23-12-2023,Thực tập sinh,0,5,Thực tập,Không yêu cầu,Công ty Cổ Phần Giải Pháp và Ứng Dụng Doanh Nghiệp Netbase,"Phân tích, phân loại, xử lý dữ liệu khách hàng, dự án... trên hệ thống quản trị Phối hợp với phòng Sale và phòng kỹ thuật để hỗ trợ triển khai dự án, xử lý vấn đề phát sinh cho khách hàng Hỗ trợ set up các plugin trên Shopify, WordPress,  Codecannon...theo yêu cầu của khách hàng Thực hiện các công việc khác theo sự phân công của quản lý và ban Giám đốc","Kỹ năng giao tiếp Tiếng Anh ở mức dử dụng được Ưu tiên ứng viên có khả năng giao tiếp Tiếng Anh thành thạo, có kinh nghiệm về Thương mại Điện tử, WordPress, Shopify... Nhiệt tình, chăm chỉ, năng động, nghiêm túc trong công việc Có thể làm fulltime",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fthuc-tap-tro-ly-du-an-thuong-mai-dien-tu-cloodo%2F1181039.html%3Fta_source%3DITJobs_LinkDetail
Mid-Level Full Stack Developer,25triệu,25.0,25.0,VND,"Hà Nội: 8A, ngõ 41 Đông Tác, Kim Liên, Đống Đa, Hà Nội.",31-01-2024,Nhân viên,2,1,Toàn thời gian,Không yêu cầu,bePOS,,,"Competitive salary according to personal experience and ability (up to 1200$) 12 days annual leave Baoviet Healthcare Social insurance, health insurance, unemployment insurance paid following labor law Team building, Year-end party activity and other benefits following company policy 5 working days per week (Mon to Fri)",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fmid-level-full-stack-developer%2F360276.html%3Fta_source%3DITJobs_LinkDetail
